key_with_zip,key_no_zip,address,city,zip,licensee,lat,lng
"337 Eubank BLVD NE, Albuquerque 87123.0","337 Eubank BLVD NE, Albuquerque",337 Eubank BLVD NE,Albuquerque,87123.0,LALA LAND CANNABIS CO - EUBANK BLVD NORTHEAST RETAILER,,
"3400 Vassar Dr NE, Albuquerque 87107.0","3400 Vassar Dr NE, Albuquerque",3400 Vassar Dr NE,Albuquerque,87107.0,BAKED BUDS LLC - VASSAR RETAIL,,
"3410 NM-528 105, Albuquerque 87114.0","3410 NM-528 105, Albuquerque",3410 NM-528 105,Albuquerque,87114.0,HIGH DESERT RELIEF-NM-528 105 RETAIL,,
"3417 Central Avenue NE, Albuquerque 87106.0","3417 Central Avenue NE, Albuquerque",3417 Central Avenue NE,Albuquerque,87106.0,ENCHANTED BOTANICALS LLC - CENTRAL AVE RETAIL/CONSUMPTION,,
"3426 Vassar Dr. NE Ste B, Albuquerque 87107.0","3426 Vassar Dr. NE Ste B, Albuquerque",3426 Vassar Dr. NE Ste B,Albuquerque,87107.0,BIEN LOCA INDUSTRIES LLC/ RETAIL VASSAR DR. NE,,
"343 Wyoming Blvd NE, Albuquerque 87123.0","343 Wyoming Blvd NE, Albuquerque",343 Wyoming Blvd NE,Albuquerque,87123.0,"KIJANI CORP - WYOMING BLVD, ABQ",,
"3500 Calle Cuervo NW, Albuquerque 87114.0","3500 Calle Cuervo NW, Albuquerque",3500 Calle Cuervo NW,Albuquerque,87114.0,FCI OF NEW MEXICO - CALLE CUERVO RETAIL,,
"3500 Menaul Blvd NE Ste 6, Albuquerque 87107.0","3500 Menaul Blvd NE Ste 6, Albuquerque",3500 Menaul Blvd NE Ste 6,Albuquerque,87107.0,OCC ABQ LLC - MENAUL BLVD RETAIL,,
"3504 Montgomery Blvd NE, Albuquerque 87107.0","3504 Montgomery Blvd NE, Albuquerque",3504 Montgomery Blvd NE,Albuquerque,87107.0,EVEREST APOTHECARY/ RETAIL MONTGOMERY BLVD NE,,
"3530 Wyoming Blvd NE, Albuquerque 87111.0","3530 Wyoming Blvd NE, Albuquerque",3530 Wyoming Blvd NE,Albuquerque,87111.0,HIGHER LIVING CANNABIS FARMING CO LLC - WYOMING RETAIL,,
"3600 Cutler Avenue NE Unit 10, Albuquerque 87110.0","3600 Cutler Avenue NE Unit 10, Albuquerque",3600 Cutler Avenue NE Unit 10,Albuquerque,87110.0,JUICY JOINTS CANNABIS LLC - CUTLER AVENUE RETAILER,,
"3620 Bosque Plaza Lane NW, Albuquerque 87120.0","3620 Bosque Plaza Lane NW, Albuquerque",3620 Bosque Plaza Lane NW,Albuquerque,87120.0,GRASSROOTS GRANTS LLC DISPENSARY ALBUQUERQUE/ CONSUMPTION AREA,,
"3620 NM State Hwy 528, Albuquerque 87114.0","3620 NM State Hwy 528, Albuquerque",3620 NM State Hwy 528,Albuquerque,87114.0,PECOS VALLEY PRODUCTION INC - ALAMEDA,,
"3636 Monte Vista Blvd NE, Albuquerque 87106.0","3636 Monte Vista Blvd NE, Albuquerque",3636 Monte Vista Blvd NE,Albuquerque,87106.0,THE VERDES FOUNDATION/ RETAIL MONTE VISTA BLVD NE,,
"3641 12th St, Albuquerque 87107.0","3641 12th St, Albuquerque",3641 12th St,Albuquerque,87107.0,ANIMACANN INC-12TH ST RETAIL,,
"3641 12th Street NW, Albuquerque 87107.0","3641 12th Street NW, Albuquerque",3641 12th Street NW,Albuquerque,87107.0,SEVEN CLOVER - 2TH STREET NW RETAILER,,
"3700 Ellison Dr NW Ste E-2, Albuquerque 87114.0","3700 Ellison Dr NW Ste E-2, Albuquerque",3700 Ellison Dr NW Ste E-2,Albuquerque,87114.0,TAFOYA FARMS LLC-ELLISON DR RETAIL,,
"3701 San Mateo Blvd NE, Suite G, Albuquerque 87110.0","3701 San Mateo Blvd NE, Suite G, Albuquerque","3701 San Mateo Blvd NE, Suite G",Albuquerque,87110.0,IMPACT FARMS LLC - SAN MATEO BLVD RETAILER,,
"3730 Coors Blvd NW Ste B, Albuquerque 87120.0","3730 Coors Blvd NW Ste B, Albuquerque",3730 Coors Blvd NW Ste B,Albuquerque,87120.0,OCC ABQ LLC - COORS BLVD RETAIL,,
"3800 Central Ave. SE, Albuquerque 87108.0","3800 Central Ave. SE, Albuquerque",3800 Central Ave. SE,Albuquerque,87108.0,SEVEN CLOVER - Albuquerque,,
"3880 menaul blvd ne, Albuquerque 87110.0","3880 menaul blvd ne, Albuquerque",3880 menaul blvd ne,Albuquerque,87110.0,AMIGOS MARKETING - MENAUL BLVD NORTHEAST RETAILER,,
"400 Lomas Blvd NE, Albuquerque 87102.0","400 Lomas Blvd NE, Albuquerque",400 Lomas Blvd NE,Albuquerque,87102.0,CHRONIC KINGS LLC - LOMAS BLVD RETAIL,,
"400 Louisiana SE, Albuquerque 87108.0","400 Louisiana SE, Albuquerque",400 Louisiana SE,Albuquerque,87108.0,ENCHANTED LEAF NM - LOUISIANA RETAIL,,
"4000 Menaul Blvd NE, Albuquerque 87110.0","4000 Menaul Blvd NE, Albuquerque",4000 Menaul Blvd NE,Albuquerque,87110.0,"PURLIFE - UNIV AVE, LC",,
"4000 San Mateo Blvd NE Ste A, Albuquerque 87110.0","4000 San Mateo Blvd NE Ste A, Albuquerque",4000 San Mateo Blvd NE Ste A,Albuquerque,87110.0,FCI OF NEW MEXICO - SAN MATEO BLVD RETAIL,,
