Licensee,Address,City,State,Zip,Medical Sales,Adult-Use Sales,Total Sales
JOE WOJICK  JOE CALANDRA LLC,2601 NE Louisiana Blvd.,Albuquerque,NM,87110,"$43,453.93","$98,003.38","$141,457.30"
OCC ABQ LLC - MONTGOMERY BLVD NE RETAIL,9880 Montgomery Blvd NE Ste C,Albuquerque,NM,87111,"$54,923.96","$79,580.06","$134,504.02"
CANNAVERSE - NEVADA AVE RETAIL,2305 Nevada Ave,Las Cruces,NM,88001,"$14,524.99","$51,380.06","$65,905.05"
"R. GREENLEAF ORGANICS, INC.",9821 Montgomery Blvd,Albuquerque,NM,87111,"$51,264.78","$81,989.59","$133,254.37"
SCORE 420 - CENTRAL  RETAIL,2125 Central Ave NW,Albuquerque,NM,87104,"$25,798.59","$99,306.84","$125,105.43"
NATURES SECRET CANNABIS - 4TH ST RETAIL,2523 4th St NW,Albuquerque,NM,87102,"$29,702.96","$90,148.86","$119,851.82"
ENCHANTED BOTANICALS LLC - CENTRAL AVE RETAIL/CONSUMPTION,3417 Central Avenue NE,Albuquerque,NM,87106,"$44,391.14","$73,409.21","$117,800.35"
CASA KUSH LLC/ RETAIL 4TH STREET NW,7218 4th Street NW,Los Ranchos,NM,87107,"$1,711.21","$5,819.77","$7,530.98"
CASA VERDE CANNABIS LLC - SOLANO RETAIL,795 S Salano Dr STE A,Las Cruces,NM,88001,"$30,942.76","$65,888.89","$96,831.65"
HIGH DESERT RELIEF DISPENSARY,4840-H Pan American East Freeway,Albuquerque,NM,87109,"$64,046.46","$51,856.59","$115,903.05"
CGFNM HOLDINGS LLC - RETAIL,2010 E Main St R 1,Farmington,NM,87401,"$5,488.69","$25,516.21","$31,004.90"
CGFNM HOLDINGS LLC- US 64 RETAIL,4157 US-64,Kirtland,NM,87417,"$4,760.91","$55,791.76","$60,552.67"
CHADCOR HOLDINGS NM- RETAIL,"2240 E Lohman Ave., Unit 1",Las Cruces,NM,88001,"$129,775.80","$294,611.16","$424,386.96"
DISPENSARY NEAR ME/ RETAIL LOMAS BLVD NE,5016 Lomas Blvd NE,Albuquerque,NM,87108,"$20,370.06","$95,299.79","$115,669.85"
CHADCOR HOLDINGS NM- RETAIL,1621 Appaloosa Dr,Sunland Park,NM,88063,"$11,422.58","$247,715.72","$259,138.30"
ENCHANTED BOTANICALS LLC - MENAUL BLVD RETAIL,5737 Menaul Blvd NE,Albuquerque,NM,87110,"$51,358.09","$64,248.36","$115,606.46"
"CHADCOR HOLDINGS NM, LLC",1615 Appaloosa Dr,Sunland Park,NM,88063,"$45,752.44","$939,763.84","$985,516.28"
"CHADCOR HOLDINGS NM, LLC - JOE HARVEY BLVD RETAIL",1127 Joe Harvey Blvd,Hobbs,NM,88240,"$17,831.62","$248,726.48","$266,558.10"
CHIKERE CAFE LLC - US HWY 54 RETAIL,403 North US Hwy 54,Logan,NM,82446,"$1,656.92","$11,504.39","$13,161.31"
CHILLAX OG LLC - SUDDERTH RD RETAIL,200 Sudderth Rd Unit A  B,Ruidoso,NM,88345,"$15,223.73","$47,176.25","$62,399.98"
URBAN WELLNESS - ACADEMY DISPENSARY,6220 San Mateo BLVD,Albuquerque,NM,87190,"$37,406.14","$77,777.72","$115,183.86"
CLM MANAGEMENT LLC - N MAIN ST RETAIL,300 N Main St. Ste 4,Las Cruces,NM,88001,"$2,686.85","$4,668.17","$7,355.02"
PECOS VALLEY PRODUCTION INC - 98TH ST RETAIL,251 98th St Ste A  B,Albuquerque,NM,87121,"$23,805.83","$87,413.41","$111,219.24"
CMC CANNABIS DISPENSARY LLC/ RETAIL W HISTORIC HWY 66,611 W Historic HWY 66,Gallup,NM,87301,"$2,477.70","$27,945.20","$30,422.90"
COMPASSIONATE DISTRIBUTORS INC - CANAL RETAIL,1704 S. Canal Street,Carlsbad,NM,88220,"$1,262.14","$7,466.14","$8,728.28"
COMPASSIONATE DISTRIBUTORS INC - SUDDERTH RETAIL,1100 Sudderth Dr.,Ruidoso,NM,88345,$817.14,"$2,323.15","$3,140.29"
COMPASSIONATE DISTRIBUTORS INC - WALNUT RETAIL,117 West Walnut,Roswell,NM,88203,$772.68,"$2,462.26","$3,234.94"
CONNOISSEUR COLLECTIVE LLC - RETAIL,1810 E. Lohman,Las Cruces,NM,88001,"$1,804.45","$6,674.25","$8,478.70"
CORRALES HEMPORIUM LLC/ RETAIL CORRALES ROAD,4484 Corrales Road,Corrales,NM,87048,$67,"$2,306.34","$2,373.34"
COUTH FARMS LLC - W NAVAJO RETAIL,312 W Navajo Ste 100,Hobbs,NM,88240,"$1,637.36","$43,916.46","$45,553.82"
COUTH FARMS LLC- EL PASEO RD RETAIL,1595 El Paseo Rd,Las Cruces,NM,88001,"$5,192.49","$27,879.54","$33,072.03"
PURLIFE - ALBUQUERQUE RETAIL,"417 Tramway Blvd. NE, Suite 2",Albuquerque,NM,87123,"$28,873.16","$75,855.54","$104,728.70"
DANK OF AMERICA LLC - W AMADOR RETAIL,250 W Amador Ave,Las Cruces,NM,88005,$448.76,"$1,131.20","$1,579.96"
DANK OF THE WEST - RETAIL,1501 East Rte 66,Tucumcari,NM,88401,"$7,040.61","$15,352.24","$22,392.85"
DBGJR LLC - WEST LAST RD RETAIL,109 West Last Rd,Capitan,NM,88316,"$4,860.34","$10,453.65","$15,313.99"
DEEP SKY CANNABIS LLC - GALISTEO STREET STE 201 RETAILER,300 Galisteo Street STE 201,Santa Fe,NM,87501,"$11,292.91","$32,522.67","$43,815.57"
DEEP SKY CANNABIS LLC - LUANA ST RETAIL,1320 Luana St,Santa Fe,NM,87505,"$40,690.70","$124,873.47","$165,564.17"
DEMING CANNABIS COMPANY LLC - SPRUCE ST RETAIL,1113 W Spruce St,Deming,NM,88030,"$20,778.04","$72,025.51","$92,803.55"
DESERT FLOWER LLC - AZTEC RD RETAIL,1308 W Aztec Blvd,Aztec,NM,87410,,"$15,326.47","$15,326.47"
DIABLO BUDS GROW 1 LLC - APPALOOSA STE 6,1925 Appaloosa Ste 6,Sunland Park,NM,88063,$25,$586.82,$611.82
DIAMOND LEAF LLC/ RETAIL N HWY 14,12133 Hwy 14 N,Cedar Crest,NM,87008,"$10,552.97","$32,820.13","$43,373.10"
DISPENSARY NEAR ME - 2ND ST RETAIL,226 W 2nd St.,Portales,NM,88301,"$13,428.53","$40,142.89","$53,571.42"
DISPENSARY NEAR ME LAS CRUCES - EL PASEO RETAIL,1025 El Paseo,Las Cruces,NM,88001,"$17,368.36","$31,674.86","$49,043.22"
