Licensee,Address,City,State,Zip,Medical Sales,Adult-Use Sales,Total Sales
GLOBAL THC LLC- N CANAL ST RETAIL,611 N CANAL ST,Carlsbad,NM,79936,"$4,984.32","$16,842.18","$21,826.50"
GMCC INC - CERRILLOS RETAIL,1900 Cerrillos Rd,Santa Fe,NM,87505,"$4,355.75","$15,773.79","$20,129.54"
GNOMAD LLC - 3606 N MAIN RETAIL,"3606 N Main St, Unit 500",Roswell,NM,88201,"$14,499.28","$49,129.27","$63,628.55"
GNOMAD LLC - GRIMES ST RETAIL,3501 N Grimes St Ste 100,Hobbs,NM,88240,"$35,902.09","$144,864.89","$180,766.98"
GNOMAD LLC - SUDDERTH DR RETAIL/CONSUMPTION,2117 Sudderth Dr.,Ruidoso,NM,88345,"$8,457.53","$13,233.79","$21,691.32"
GNOMAD LLC-BROADWAY RETAIL,223 West Broadway Ste A,Tatum,NM,88267,"$10,046.80","$75,534.21","$85,581.01"
ANIMACANN INC-12TH ST RETAIL,3641 12th St,Albuquerque,NM,87107,"$15,966.79","$40,634.41","$56,601.20"
GRADYS CANNABIS LLC- RETAIL,111 N Main,Aztec,NM,87410,"$11,863.04","$57,233.71","$69,096.75"
GRANDE CULTIVATION COLLECTIVE LLC - HICKORY DR RETAIL,1455 Hickory Dr Ste 1B,Las Cruces,NM,88005,"$19,348.82","$86,352.96","$105,701.78"
GRANDE CULTIVATION COLLECTIVE LLC - MAIN ST - RETAIL,3459 Main St Suite E,Los Lunas,NM,87031,"$6,607.50","$16,277.15","$22,884.65"
R. GREENLEAF ORGANICS DISPENSARY,4014 Central Avenue SE,Albuquerque,NM,87108,"$19,854.50","$36,090.64","$55,945.14"
GRANDMAS POT SHOP LLC - PERALTA,2 Valencia Rd,Peralta,NM,87042,"$5,295.05","$19,807.95","$25,103"
"GRANDPAS HOME GROWN HERBS, LLC - VILLA CHRISTINA RETAIL",2419 North White Sands Blvd Suite C,Alamogordo,NM,88310,"$4,303","$15,013","$19,316"
GRASSROOTS RX GRANTS LLC DISPENSARY,1005 Mesa Blvd.,Grants,NM,87357,"$7,301.68","$13,280.20","$20,581.88"
PURLIFE- GOLF COURSE RD NW  RETAIL,8521 Golf Course Rd NW,Albuquerque,NM,87114,"$15,941.11","$39,974.49","$55,915.60"
CANNACOLLC - 4TH ST RETAIL,4200 4th St NW,Albuquerque,NM,87107,"$16,489.64","$37,287.47","$53,777.11"
GREEN FUEGO/ RETAIL MALLARD WAY B,7502 Mallard Way B,Santa Fe,NM,87507,"$30,949.94","$84,509.60","$115,459.54"
GREEN GROVE PRODUCTIONS- 7TH ST RETAIL,2216 W 7th St.,Clovis,NM,88101,"$3,745.63","$19,028.17","$22,773.80"
"GREEN LABS CANNABIS COMPANY, LLC- DERBY RD RETAIL",245 Derby Rd,Sunland Park,NM,88063,$214.38,"$31,185.37","$31,399.75"
GREEN LIGHT MULTIFACTOR LLC,1228 Parkway Drive Unit D,Santa Fe,NM,87507,"$11,298.31","$14,153.70","$25,452.01"
GREEN MINDED HOLDINGS LLC,2330 Sudderth Dr,Ruidoso,NM,88345,"$5,290.37","$30,455.37","$35,745.74"
GREEN MINDED HOLDINGS LLC,876 Highway 48,Alto,NM,88312,"$2,717.46","$12,479.73","$15,197.19"
GREEN MINDED HOLDINGS LLC - US HIGHWAY 380,6505 US Highway 380,Carrizozo,NM,88301,"$1,529.17","$10,954.54","$12,483.71"
"GREEN THERAPY DISPENSARY, LLC","460 County Line Drive, Space F",Chaparral,NM,88081,"$33,466.02","$437,093.32","$470,559.34"
GREEN WORLD TAOS INC,1034 Paseo de Pueblo Sur,Taos,NM,87571,"$22,699.82","$112,169.29","$134,869.11"
GREENE STREET HOLDINGS NEW MEXICO LLC- LOHMAN RETAIL,2060 Calle De Parin,Mesilla,NM,88046,"$12,375.30","$35,424.59","$47,799.90"
GREY MOON OPERATIONS LLC - RETAIL,3411 NM-18,Jal,NM,88252,"$4,528.38","$246,266.13","$250,794.51"
GRIND 2 PEACEFUL MIND LLC - 5TH ST RETAIL,350 W 8th St.,Vaughn,NM,88353,$446.22,"$5,923.96","$6,370.18"
GROTH INDUSTRIES LLC - SCHNEBERGER DR RETIAL,140 Schneberger Dr,Chaparral,NM,88081,"$1,017.77","$7,067.60","$8,085.37"
GS GANJA/ RETAIL STRAIGHT ARROW ROAD,726 Paseo Del Pueblo Sur Suite A,Taos,NM,87571,$475,"$5,912.25","$6,387.25"
JUICY JOINTS CANNABIS LLC - CUTLER AVENUE RETAILER,3600 Cutler Avenue NE Unit 10,Albuquerque,NM,87110,"$13,585.96","$39,938.21","$53,524.16"
"SMOKE HAVEN, LLC - JUAN TABO RETAILER",1720 Juan Tabo Suite E,Albuquerque,NM,87112,"$14,511.80","$38,794.89","$53,306.69"
HAPPY HERB LLC,412 Silver Heights Blvd,Silver City,NM,88061,"$8,237","$35,524.42","$43,761.42"
HAPPY HERB LLC - RETAIL BAYARD,1103 Tom Foy Boulevard,Bayard,NM,88023,"$4,948.78","$27,256.05","$32,204.83"
HAPPY HERB LLC - RETAIL SILVER CITY,2005 Hwy 180 Suite 300,Silver City,NM,88061,"$9,380.61","$42,230.99","$51,611.60"
AMNESIA DISPENSARY  ACCESSORIES - DOUGLAS RETAIL,2100 Juan Tabo Blvd NE,Albuquerque,NM,87112,"$12,604.25","$38,751.73","$51,355.98"
HASHTAG CANNABIS LLC - RETAIL,2460 Missouri Ave,Las Cruces,NM,88001,"$20,097.39","$50,424.23","$70,521.62"
HATCH VALLEY VENTURES LLC - FRANKLIN STREET RETAILER,629 Franklin Street,Hatch,NM,87937,"$2,046.78","$25,121.65","$27,168.43"
HERBAL WELLNESS SOLUTIONS LLC/ RETAIL HWY 35,2674 Hwy 35,San Lorenzo,NM,88041,$428.49,"$1,569.37","$1,997.86"
HERRERA CANNABIS COMPANY/ RETAIL HWY 550,6404 Hwy 550,Cuba,NM,87013,"$7,415.45","$58,640.04","$66,055.49"
SCORE 420 - OLD COORS DRIVE RETAILER,806 Old Coors Drive SW,Albuquerque,NM,87121,"$9,500.84","$41,732.02","$51,232.86"
HHNM LAS CRUCES 1 COMPANY- S VALLEY DR RETAIL,580 S. Valley Dr. Ste. 300,Las Cruces,NM,88005,"$3,906.24","$11,558.86","$15,465.10"
HHNM LAS CRUCES 2 COMPANY- NORTH MAIN ST RETAIL,1685 North Main St,Las Cruces,NM,88001,"$3,351.17","$9,824.28","$13,175.45"
HI LEVEL LOGISTICS LLC/ RETAIL E TATUM HIGHWAY,609 Tatum Highway,Lovington,NM,88260,$938.30,"$10,143.95","$11,082.25"
HI LIFE DISPENSARY LLC - MCNUTT RD - RETAIL,5620 McNutt Rd,Santa Teresa,NM,88008,"$6,249.39","$46,440.84","$52,690.23"
HIGH ALTITUDE EXOTICS LIMITED LIABILITY COMPANY/ RETAIL WEST BROADWAY,109 West Broadway,Farmington,NM,87401,"$6,368.23","$37,832.36","$44,200.59"
HIGH CLASS/ RETAIL AGUA FRIA ST SUITE 10,2778 Agua Fria St Suite 5,Santa Fe,NM,87507,"$28,472.10","$37,283.25","$65,755.35"
HIGH DESERT RELIEF - US 550 RETAILER,113 US 550,Bernalillo,NM,87004,"$15,009.75","$27,261.71","$42,271.46"
HIGH DESERT RELIEF DISPENSARY,5041 Main Street,Santa Fe,NM,87507,"$68,431.11","$121,437.44","$189,868.55"
SCORE 420 - CENTRAL AVENUE RETAILER,12999 Central Avenue,Albuquerque,NM,87123,"$7,396.52","$43,178.93","$50,575.45"
"KIJANI CORP - WYOMING BLVD, ABQ",343 Wyoming Blvd NE,Albuquerque,NM,87123,"$15,548.05","$33,518.38","$49,066.43"
"HIGH DESERT RELIEF-N CENTRAL AVENUE, SUITE A RETAIL","3817 N Central Avenue, Suite A",Hobbs,NM,88240,"$6,223.36","$31,970.77","$38,194.13"
CANVAS ORGANICS ENTERPRISES LLC - EUBANK BLVD RETAIL,401 Eubank Blvd SE Ste. D,Albuquerque,NM,87123,"$11,451.57","$37,348.06","$48,799.62"
HIGH FLYER DISPENSARY LLC-SILER RD RETAIL,1161 Siler rd,Santa Fe,NM,87507,"$1,611.44","$4,826.26","$6,437.70"
GOT GREENS LLC - CORRALES RD RETAIL,10200 Corrales Rd NW Ste E-2,Albuquerque,NM,87114,"$12,520.74","$34,991.32","$47,512.06"
HIGH STANDARDS 23 - MABRY DR. RETAIL,3806 Mabry Dr.,Clovis,NM,88101,"$12,612.75","$45,981.20","$58,593.95"
HIGH SUPPLY CANNABIS LLC - MAIN AVE RETAIL,106 N Main Ave,Portales,NM,88130,"$7,313.67","$24,124.18","$31,437.85"
PROHIBITION 37,1514 Coors Blvd Ste B,Albuquerque,NM,87121,"$14,162.80","$31,250.08","$45,412.88"
HIGHER GRADE FARMS LLC - INDIAN WELLS RETAIL,1610 Indian Wells Rd,Alamogordo,NM,88310,$281.02,$222.96,$503.98
HIGHLINE CANNABIS LLC,1103 S Main St,Lovington,NM,88260,"$8,600.86","$36,105.87","$44,706.72"
HONEYBUDZ LLC - MONROE ST RETAIL,422 Monroe,Clayton,NM,88415,,"$1,810.25","$1,810.25"
HORIZON GROWERS OF NEW MEXICO LLC - RETAIL MAIN AVE,312 S Main Ave,Portales,NM,88130,"$8,875.01","$25,187.15","$34,062.16"
HOT SPRINGS CANNABIS - DATE ST RETAIL,412 Date St.,Truth or Consequences,NM,87901,"$11,067.06","$28,120.26","$39,187.32"
A FARMER AND HIS DOG LLC-INDIAN SCHOOL RETAIL,9402 Indian School Rd NE,Albuquerque,NM,87112,"$10,765.53","$34,566.69","$45,332.22"
HOUSE OF FLOWERS ON THE BORDER LLC - MANU,1042 State Line,Chaparral,NM,88081,$8.38,,$8.38
HOUSE OF FLOWERS ON THE BORDER LLC - RETAIL,1042 State Line,Chapparal,NM,88081,"$3,890.37","$73,412.62","$77,302.99"
"HUSTLE BOYZ, LLC - RIVERSIDE DR RETAIL",908 N Riverside Dr,Espanola,NM,87532,"$9,070.91","$16,394.16","$25,465.07"
IGWT LLC - NM165 RETAIL,221 NM165 Suite J,Placitas,NM,87043,"$3,339","$11,366","$14,705"
EVEREST APOTHECARY - DISPENSARY,9237 4th St. NW,Albuquerque,NM,87114,"$12,479.20","$32,271.05","$44,750.25"
J AND J LOAN COMPANY- MCNUTT RETAIL,1144 McNutt,Sunland Park,NM,88063,$219.43,"$51,180.51","$51,399.94"
"JACC LIFE, LLC",2483 U.S. Rt 66,Santa Rosa,NM,88435,"$12,838","$58,456.60","$71,294.60"
JAR-O LLC - HULL ST RETAIL,416 N. Hull St.,Clovis,NM,88101,"$44,081.78","$146,751.02","$190,832.80"
JEMEZ MOUNTAIN MEDS LLC - HIGHWAY 4 RETAIL,17502 Highway 4 Suite B,Jemez Springs,NM,87025,"$1,211.45","$5,079.84","$6,291.29"
LEAF AND FLOWER LLC-4TH ST RETAIL,6015 4th St NW,Albuquerque,NM,87107,"$12,654.77","$30,963.63","$43,618.40"
MAMA AND THE GIRLS / RETAIL LAGUAYRA DR NE,915 Yale SE,Albuquerque,NM,87106,"$5,520.39","$37,487.69","$43,008.08"
K PAYNE RELIEF/ RETAIL MISSOURI AVENUE,2505 Missouri Avenue,Las Cruces,NM,88011,"$15,487.67","$30,020.07","$45,507.75"
KANNABIS KLUB/ RETAIL SAN JUAN BLVD,1930 San Juan Blvd A,Farmington,NM,87401,"$1,681.44","$7,558.06","$9,239.50"
KDS DISPENSARY - FIRST ST RETAIL,603 S First St,Clayton,NM,88415,"$5,226.69","$67,609.21","$72,835.90"
KEYWAY - DISPENSARY -OPEN,24 Bisbee Ct.,Santa Fe,NM,87508,"$7,075.17","$10,845.37","$17,920.54"
KEYWAY- RETAIL,1592 San Mateo Lane,Santa Fe,NM,87505,"$4,911.48","$9,359.07","$14,270.55"
REDS MARIJUANA SHOP LLC - OLD COORS DR RETAIL,207 Old Coors Dr SW,Albuquerque,NM,87121,"$14,906.54","$26,905.45","$41,811.99"
KINDLIFE KIRTLAND LLC/ RETAIL HIGHWAY 64,4354 Highway 64,Kirtland,NM,87417,$539.91,"$13,634.07","$14,173.98"
EVEREST APOTHECARY- ALBUQUERQUE DISPENSARY,"4201 Central Avenue NW, Suite B-6",Albuquerque,NM,87105,"$9,660.81","$31,233.47","$40,894.28"
KURE LLC - OLD LV HWY RETAILER,628 Old Las Vegas Hwy,Santa Fe,NM,87508,"$9,988","$29,939","$39,927"
"KURE, INC. - DISPENSARY",220 N. Guadalupe Street,Santa Fe,NM,87507,"$10,233","$29,095","$39,328"
"KURE, INC. DISPENSARY SANTA FE THIRD LOCATION",3354 Cerrillos Rd,Santa Fe,NM,87507,"$22,520","$64,150","$86,670"
"KUSHOLOGY 101 LLC - OHARA RD, RETAIL",1600 E OHara Rd,Anthony,NM,88021,$827.73,"$17,907.01","$18,734.74"
LA LUZ ORGANICS LLC - CAMINO DEL PUEBLO RETAIL,961 S Camino Del Pueblo,Bernalillo,NM,87004,$825.18,"$3,857.62","$4,682.80"
HF HOLDINGS LLC - GOLF COURSE RETAIL,904 Broadway NE St. A,Albuquerque,NM,87102,"$8,924.91","$31,963.12","$40,888.03"
FCI OF NEW MEXICO - HOBBS RETAIL,4301 N Grimes St Suite 600,Hobbs,NM,88240,"$2,574.30","$45,082.42","$47,656.72"
CRANIUM EXTRACTS LLC,"4501 4th Street NW, Suite F",Albuquerque,NM,87107,"$12,950.93","$27,612.60","$40,563.53"
LAGGRAY LLC,3023 S First St,Tucumcari,NM,88401,"$9,462.34","$105,902.93","$115,365.27"
CANVAS ORGANICS ENTERPRISES LLC - SAN PEDRO DR RETAIL,3000 San Pedro Drive NE Suite B,Albuquerque,NM,87110,"$11,443.97","$27,337.05","$38,781.02"
LAVA WELLNESS,1208  East Highway 66,Gallup,NM,87301,"$43,779.43","$295,681.25","$339,460.68"
LAVISH BUDS,142 Wyatt DR,Las Cruces,NM,88005,$251.17,$497.69,$748.86
LAVISH LEAF LLC- 10TH STREET RETAIL,604 Tenth St,Alamogordo,NM,88310,"$8,188.07","$9,721.85","$17,909.92"
TAFOYA FARMS LLC/ RETAIL 4TH ST NW,3313 4th St NW,Albuquerque,NM,87107,"$11,421.01","$24,752.69","$36,173.70"
NM ALTITUDE LLC - VISTA OESTE NORTHWEST RETAILER,2105 Vista Oeste NW STE D,Albuquerque,NM,87120,"$7,758.25","$28,318.49","$36,076.74"
SCORE 420/ RETAIL CENTRAL AVE NE,4521 Central Ave NE,Albuquerque,NM,87108,"$7,555.07","$28,402.49","$35,957.56"
LEAF REPUBLIC - HWY 314 NW RETAIL,127 Hwy 314 NW,Los Lunas,NM,87031,"$4,267.55","$18,642.65","$22,910.20"
LEWIS AND SCHRAMM LLC - ENGLISH RD RETAIL,4601 English Rd,Farmington,NM,87402,"$2,787.55","$33,542.48","$36,330.03"
"LIFTED, A FINE CANNABIS BOUTIQUE LLC/ RETAIL SOUTH FIRST STREET",1824 South First Street,Tucumcari,NM,88401,"$15,894.56","$47,056.11","$62,950.67"
LL MANAGEMENT LLC,3513 Main St,Los Lunas,NM,87031,"$48,699.78","$70,945.31","$119,645.09"
LOONIE ZOONIE LABORATORIES LLC RETAIL SAN MATEO BLVD NE,729 NM-22,Pena Blanca,NM,87041,$580.54,$496.88,"$1,077.42"
BMD LLC-SAN MATEO BLVD NE SUITE A RETAIL,5231 San Mateo Blvd NE Suite A,Albuquerque,NM,87109,"$15,090.66","$20,403","$35,493.66"
RR DESIGNS LLC - MENAUL RETAIL,214 Menaul Unit B C,Albuquerque,NM,87107,"$2,856.42","$32,469.76","$35,326.18"
BOGOSLLC - JUAN TABO RETAILER,1300 Juan Tabo ne suite C,Albuquerque,NM,87112,"$3,501.69","$30,241.14","$33,742.83"
NM ALTITUDE LLC - LOUISIANA BLVD RETAIL,8110 Louisiana Blvd NE Suite D-1,Albuquerque,NM,87113,"$5,452.29","$27,991.19","$33,443.48"
AMIGOS MARKETING - MENAUL BLVD NORTHEAST RETAILER,3880 menaul blvd ne,Albuquerque,NM,87110,"$10,710.80","$22,674.86","$33,385.66"
LOVES CANNABIS- ISLETA RETAIL,3228 Isleta Blvd SW,Albuquerque,NM,87105,"$3,923.48","$29,164.95","$33,088.43"
LYONS PRIDE DISPENSARY LLC/ RETAIL ADAMS,900 Adams,Alamogordo,NM,88310,"$2,378.66","$2,526.94","$4,905.60"
M AND M 2025 LLC - EAST 7TH STREET RETAILER,2300 E 7th ST,Clovis,NM,88101,"$4,948.72","$21,858.33","$26,807.05"
M AND M 2025 LLC - NORTH NORRIS STREET RETAILER,408 n Norris st,Clovis,NM,88101,"$7,184.77","$12,171.08","$19,355.85"
M AND M 2025 LLC - NORTH PRIMES STREET RETAILER,221 n primes st,Clovis,NM,88101,"$2,498.80","$11,209.99","$13,708.79"
M THOMAS LLC - MECHAEM DRIVE - CONSUMPTION/RETAIL,412 Mechaem Drive,Ruidoso,NM,88345,"$3,239.04","$15,512.10","$18,751.14"
M THOMAS LLC - PICACHO AVE RETAILER/CONSUMPTION LOUNGE,1275 W Picacho Ave,Las Cruces,NM,88005,"$14,487.85","$39,418.16","$53,906.01"
M THOMAS LLC - SOLANO DR RETAILER,301 N Solano Dr,Las Cruces,NM,88001,$71.40,$99.40,$170.80
M THOMAS LLC- E IDAHO AVE CONSUMPTION,523 E Idaho ave,Las Cruces,NM,88001,"$2,445.49","$3,308.75","$5,754.24"
FCI OF NEW MEXICO - LLANO ESTACADO RETAIL,601 Llano Estacado,Clovis,NM,88101,"$7,432.42","$42,731.46","$50,163.88"
LOVES CANNABIS,1220 Eubank Blvd NE Ste B,Albuquerque,NM,87112,"$4,550.39","$25,585.63","$30,136.02"
"MADRID CANNABIS, INC - RAILYARD LN, RETAIL",8 Railyard Ln,Madrid,NM,87010,"$2,563","$10,916","$13,479"
MAMA AND THE GIRLS -,142 Daniel Dt,Santa Fe,NM,87501,"$1,029.10","$3,758.02","$4,787.12"
CANVAS ORGANICS ENTERPRISES LLC - YALE BLVD RETAIL,1309 Yale Blvd SE,Albuquerque,NM,87106,"$5,697.20","$24,099.54","$29,796.74"
ANIMACANN INC-JUAN TABO UNIT J RETAIL,1016 Juan Tabo Unit J,Albuquerque,NM,87112,"$7,897.64","$21,560.22","$29,457.85"
MEDD LLC - PALOMA BLANCA RETAIL,170 McCombs,Chaparral,NM,88081,"$3,025.95","$76,950.59","$79,976.54"
MERCAN DREAMS LLC - CAMINO DEL PUEBLO RETAIL,872 Camino Del Pueblo Ste F,Bernalillo,NM,87004,,$723.27,$723.27
MERCAN DREAMS LLC- BERNA RETAIL,965 US-550 Ste B,Bernalillo,NM,87004,,"$2,236.11","$2,236.11"
MESA FLOWERS,617 S Cochran,Hobbs,NM,88240,"$5,426.37","$28,883.08","$34,309.45"
MGGA LLC - MALONEY ST RETAIL,1020 W Maloney Ste A,Gallup,NM,87301,"$2,293.36","$82,743.07","$85,036.43"
MINDSCAPE VENTURES LLC/ RETAIL E BENDER BLVD,708 E Bender Blvd,Hobbs,NM,88240,"$48,750.69","$213,456.53","$262,207.22"
FAMILY STRAINS 2 LLC,12611 Montgomery Blvd NE Suite A10,Albuquerque,NM,87111,"$4,397","$24,645.61","$29,042.61"
MONSTER HOUSE SMOKE LLC-RETAIL / CONSUMPTION,412 Mechem Dr,Ruidoso,NM,88035,"$1,036.38","$5,396.72","$6,433.10"
MOTAVATED LLC-207 SOUTH MAIN ST RETAIL,207 South Main St,Belen,NM,87002,"$11,996.90","$29,536.94","$41,533.84"
MOTHERS MEDS LLC - MAIN ST RETAIL,5100 E Main St Suite 105,Farmington,NM,87402,"$12,352.54","$27,941.93","$40,294.47"
ELEMENTS DISPENSARY LLC/ RETAIL LOMAS BLVD NE,9901 Lomas Blvd NE,Albuquerque,NM,87112,"$7,254.15","$21,682.89","$28,937.04"
MOUNTAIN HIGH EXPRESS,2381 Frontage Rd,Chama,NM,87520,"$1,154.09","$31,334.32","$32,488.41"
MUNCHIEZ CANNABIS LLC - SUDDERTH DR RETAIL,1715 Sudderth Dr,Ruidoso,NM,88345,"$32,129.50","$105,085.50","$137,215"
MUNCHIEZ CANNABIS LLC - WHITE SANDS BLVD RETAIL,1022 N White Sands Blvd,Alamogordo,NM,88310,"$21,237.50","$48,092","$69,329.50"
MUNCHIEZ CANNABIS LLC- SOLANO RETAIL,1201 South Solano Drive,Las Cruces,NM,88001,"$34,855","$94,112.43","$128,967.43"
MY STASH - NM-264 RETAIL,NM-264 491,Yah Ta Hey,NM,87375,$445.54,"$31,982.22","$32,427.76"
N.M. CANNACO- N CANAL ST RETAIL,1410 N Canal St,Carlsbad,NM,88220,"$12,073.08","$36,718","$48,791.08"
GENERATION HEALTH NM,2621 Wyoming,Albuquerque,NM,87112,"$7,209.26","$21,684.72","$28,893.98"
"NEBRO, LLC",1999 Futurity Drive Unit A,Sunland Park,NM,88063,"$3,433.51","$75,935.77","$79,369.28"
NERA LLC/ RETAIL HIGHWAY 213,1000 N Main,Las Cruces,NM,88081,"$13,794.26","$19,981.36","$33,775.62"
NEW AIR LLC,105 E Paseo de Onate,Espanola,NM,87532,"$45,533.82","$49,308.66","$94,842.48"
NEW ERA NM LLC - FOOTHILLS RD RETAIL,3850 Foothills Rd Suite 5,Las Cruces,NM,88011,"$1,079.26","$3,873.41","$4,952.67"
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC,"4 George Court Suites B, C, D",Edgewood,NM,87015,"$6,414.08","$26,590.91","$33,004.99"
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC,805 Main Street,Lordsburg,NM,88045,"$6,240.64","$22,296.80","$28,537.44"
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC,1973 Historic Route 66,Santa Rosa,NM,88435,"$5,471.16","$12,519.56","$17,990.72"
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC,745 Highway 64,Eagle Nest,NM,87718,"$2,345.10","$13,349.96","$15,695.06"
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC,1965 Bataan Memorial,Las Cruces,NM,88012,"$5,588.80","$5,869.01","$11,457.81"
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  1ST ST RETAIL,524 S. 1st St.,Clayton,NM,88415,"$5,436.35","$16,330.13","$21,766.48"
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  2ND ST RETAIL,1012 W. 2nd st,Portales,NM,88130,"$2,057.17","$6,596.66","$8,653.83"
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  ALAMOGORDO RETAIL,601 N White Sands Blvd,Alamogordo,NM,88310,"$7,962.28","$6,280.95","$14,243.23"
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  BROADWAY RETAIL,610 N. Broadway,Truth or Consequences,NM,87901,"$6,539.82","$17,537","$24,076.82"
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  CANAL ST RETAIL,1301 S.  Canal St,Carlsbad,NM,88220,"$5,456.82","$21,095.51","$26,552.33"
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  CLOVIS RETAIL,1512 N. Prince,Clovis,NM,88101,"$7,077.12","$4,677.99","$11,755.11"
ROUTE 66 SMOKE SHOP LLC / RETAIL RHODE ISLAND ST NE,8900 Central Ave SE,Albuquerque,NM,87123,"$1,706.60","$26,652.19","$28,358.79"
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  ESPANOLA RETAIL,811 A. North Riverside Drive,Espanola,NM,87532,"$10,921.02","$10,597.30","$21,518.32"
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  GALLUP DISPENSARY,200 W. Coal Ave,Gallup,NM,87301,"$3,401.40","$33,844.27","$37,245.67"
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  LAS CRUCES RETAIL,"1600 South Valley Drive, Suite D",Las Cruces,NM,88005,"$7,014.15","$8,896.35","$15,910.50"
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  LAS VEGAS DISPENSARY,252/254 Mills Ave.,Las Vegas,NM,87701,"$4,191.27","$8,531.06","$12,722.33"
RIO GRANDE FARMACEUTICALS LLC,"6919 Montgomery Blvd NE, Suite B",Albuquerque,NM,87109,$220,"$27,541.04","$27,761.04"
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  N DAL PASO RETAIL,3211 N Dal Paso,Hobbs,NM,88240,"$4,714.16","$23,566.21","$28,280.37"
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  PINE RETAIL,807 E. Pine,Deming,NM,88030,"$5,625.69","$18,961.93","$24,587.62"
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  ROSWELL DISPENSARY,"2800 N. Main Street, Suite 4",Roswell,NM,88201,"$4,048.78","$9,637.40","$13,686.18"
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  SILVER CITY RETAIL,2320 Highway 180 East,Silver City,NM,88061,"$13,547.28","$22,864.99","$36,412.27"
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  SOUTHERN BLVD RETAIL,"3851 Southern Blvd., SE",Rio Rancho,NM,87124,"$13,002.32","$23,944.16","$36,946.48"
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  SUNLAND PARK RETAIL,1155 McNutt Road,Sunland Park,NM,88063,"$5,046.65","$25,131.72","$30,178.37"
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC - CAMINO DON TOMAS RETAIL,255 Camino Don Tomas,Bernalillo,NM,87004,"$5,148.45","$6,758.22","$11,906.67"
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC - ST MICHAELS DR RETAIL,1907 St. Michaels Drive,Santa Fe,NM,87505,"$6,274.05","$14,041.65","$20,315.70"
LEAF AND FLOWER LLC/ RETAIL LOMAS BLVD NE,4711 Lomas Blvd NE,Albuquerque,NM,87110,"$10,277.89","$17,191.79","$27,469.68"
BOUTIQUEBUDZ LLC - MENAUL RETAIL,4701 Menaul Blvd NE,Albuquerque,NM,87110,"$6,738.82","$20,633.73","$27,372.55"
NM ALTITUDE RETAIL,1100 State Highway 528 Ne Suite A,Rio Rancho,NM,87144,"$24,609.09","$62,098.01","$86,707.10"
NM GREEN DOOR LLC/ RETAIL E BRAZOS,815 E Brazos,Portales,NM,88130,"$11,245","$20,468.02","$31,713.02"
NM HY-LYFE LLC - STATE RD 68 RETAIL,701 State Rd 68,Alcalde,NM,87511,"$8,264.03","$28,753.21","$37,017.24"
ELKHORN RETAIL LLC/ RETAIL 98TH ST SW,101 98th St SW,Albuquerque,NM,87121,"$7,535.60","$19,708.44","$27,244.04"
NUVES LLC - RANCH ROAD RETAIL,101 Maguey Suite 4,Sunland Park,NM,88063,$178.99,"$30,535.90","$30,714.89"
OBI WAN CANNABIS LLC,2167 McNutt Rd suite A,Sunland Park,NM,88063,"$1,157.43","$17,313.99","$18,471.42"
OBSIDIAN HAZE LLC,1600 Ave O,Eunice,NM,88231,"$4,744.57","$86,449.26","$91,193.83"
RED GORILLA GREENS - 4TH ST RETAIL,1100 4th St NW,Albuquerque,NM,87102,"$5,587.48","$21,099.08","$26,686.56"
OCC ABQ LLC,1407 West 2nd St,Roswell,NM,88201,"$139,573.27","$232,631.66","$372,204.93"
OCC ABQ LLC,426 E Main St,Farmington,NM,87401,"$80,052.52","$264,525.91","$344,578.43"
LUNA LEAF LLC - RIO GRANDE BLVD NORTHWEST RETAILER,2400 rio grande blvd nw suite B,Albuquerque,NM,87104,"$7,314.25","$17,586.29","$24,900.54"
KITE LLC DBA THRIVE CRAFT CANNABIS CO - RETAIL/CONSUMPTION 2ND STREET NW,5926 2nd Street NW,Albuquerque,NM,87107,"$12,039.72","$11,813.20","$23,852.92"
HARVEST FOUNDATION ALBUQUERQUE DISPENSARY,"220 Copper Avenue NW, Suite 110, Unit 4",Albuquerque,NM,87102,"$6,755.42","$16,720.44","$23,475.86"
